,Neighborhood
0,Armatage
1,Audubon Park
2,Bancroft
3,Battle Creek-Highwood
4,Cedar Riverside
5,Cedar-Isles-Dean
6,Central
7,Como (Minneapolis)
8,Como (St. Paul)
9,Cooper
10,Corcoran
11,Dayton's Bluff
12,Diamond Lake
13,Downtown
14,Downtown West
15,East Harriet
16,East Isles
17,ECCO
18,Elliot Park
19,Ericsson
20,Folwell
21,Frogtown/Thomas-Dale
22,Fulton
23,Greater East Side
24,Hamline-Midway
25,Hawthorne
26,Hiawatha
27,Highland
28,Holland
29,Howe
30,Jordan
31,Kenny
32,King Field
33,Lind-Bohanon
34,Linden Hills
35,Longfellow
36,Loring Park
37,Lowry Hill
38,Lowry Hill East
39,Lyndale
40,Lynnhurst
41,Macalester-Groveland
42,Marcy Holmes
43,Midtown Phillips
44,Minnehaha
45,Near North
46,North End
47,North Loop
48,Northrop
49,Payne-Phalen
50,Phillips West
51,Powderhorn Park
52,Prospect Park-East River Road
53,Seward
54,Sheridan
55,St. Anthony Park
56,Standish
57,Steven's Square-Loring Heights
58,Summit Hill
59,Summit-University
60,Tangletown
61,Union Park
62,Ventura Village
63,Victory
64,Waite Park
65,Webber-Camden
66,Wenonah
67,West Seventh
68,West Side
69,Whittier
70,Willard-Hay
71,Windom
72,Windom Park
